State,Analyte,value
NM,PFOS,1.1429996650531407
NV,PFBA,NA
NV,PFPeA,NA
NV,PFHpA,NA
NV,PFOA,NA
NV,PFNA,1.5012732068940917
NV,PFDA,0.5190935013923179
NV,PFHxS,NA
NV,PFOS,1.1091391258427514
NY,PFBA,NA
NY,PFPeA,NA
NY,PFHpA,121.41694074265791
NY,PFOA,NA
NY,PFNA,1.369825322419494
NY,PFDA,0.3543838681491329
NY,PFHxS,NA
NY,PFOS,1.0799034407684154
OH,PFBA,NA
OH,PFPeA,NA
OH,PFHpA,NA
OH,PFOA,NA
OH,PFNA,0.9201351913221852
OH,PFDA,0.45435575026228886
OH,PFHxS,NA
OH,PFOS,6.9438881385598314
OK,PFBA,NA
OK,PFPeA,NA
OK,PFHpA,NA
OK,PFOA,NA
OK,PFNA,1.6949858787513938
OK,PFDA,0.7471825177338813
OK,PFHxS,NA
OK,PFOS,6.458861419081314
OR,PFBA,NA
OR,PFPeA,NA
OR,PFHpA,NA
OR,PFOA,NA
OR,PFNA,1.5704563039859856
OR,PFDA,0.714498247134491
OR,PFHxS,NA
OR,PFOS,7.401748698029096
PA,PFBA,NA
PA,PFPeA,NA
PA,PFHpA,NA
PA,PFOA,NA
PA,PFNA,2.0236055899378886
PA,PFDA,0.8251084538198472
PA,PFHxS,NA
PA,PFOS,6.929848402789671
RI,PFBA,NA
RI,PFPeA,NA
RI,PFHpA,NA
RI,PFOA,NA
RI,PFNA,0.9685633592865109
RI,PFDA,0.5604780024214528
RI,PFHxS,NA
RI,PFOS,1.9608060149969428
SC,PFBA,NA
SC,PFPeA,NA
SC,PFHpA,NA
SC,PFOA,NA
SC,PFNA,6.610444927130436
SC,PFDA,2.945369094357635
SC,PFHxS,20.849388918894526
SC,PFOS,10.465384216440318
SD,PFBA,NA
SD,PFPeA,NA
SD,PFHpA,205.25244744592166
SD,PFOA,NA
SD,PFNA,2.6689301455894965
SD,PFDA,0.2708659280409799
SD,PFHxS,5.036931697954086
SD,PFOS,0.6696428410760623
TN,PFBA,NA
TN,PFPeA,NA
TN,PFHpA,NA
TN,PFOA,NA
TN,PFNA,NA
TN,PFDA,0.5226679784485772
TN,PFHxS,NA
TN,PFOS,4.242642976380776
TX,PFBA,NA
TX,PFPeA,NA
TX,PFHpA,NA
TX,PFOA,NA
TX,PFNA,1.6154253170957162
TX,PFDA,0.495622993313917
TX,PFHxS,NA
TX,PFOS,2.0459159157374263
UT,PFBA,NA
UT,PFPeA,NA
UT,PFHpA,NA
UT,PFOA,NA
UT,PFNA,1.1484394117254344
UT,PFDA,0.40669605617883203
UT,PFHxS,3.7087855288418146
UT,PFOS,0.30920453366755485
VA,PFBA,NA
VA,PFPeA,NA
VA,PFHpA,NA
VA,PFOA,NA
VA,PFNA,0.8924619524854279
VA,PFDA,0.8039736490030761
VA,PFHxS,NA
VA,PFOS,6.797591732215293
VT,PFBA,NA
VT,PFPeA,NA
VT,PFHpA,NA
VT,PFOA,NA
VT,PFNA,1.3283154641643578
VT,PFDA,0.4114620255871777
VT,PFHxS,NA
VT,PFOS,1.3768851456478297
WA,PFBA,NA
WA,PFPeA,NA
WA,PFHpA,NA
WA,PFOA,NA
WA,PFNA,1.0688788500697566
WA,PFDA,0.8004559096778686
WA,PFHxS,3.934319783974087
WA,PFOS,6.463035447099904
WI,PFBA,NA
WI,PFPeA,NA
WI,PFHpA,NA
WI,PFOA,NA
WI,PFNA,0.9062985719038066
WI,PFDA,0.4356890367462683
WI,PFHxS,NA
