SubjectTaxonomicName,Number of Sample
Cyprinus carpio,10
Dorosoma cepedianum,6
Lepomis macrochirus,12
Micropterus dolomieu,20
Morone chrysops,12
Notropis atherinoides,6
Sander vitreus,40
