State,Total Samples,Water,Tissue
Colorado,33,33,0
Illinois,6,6,0
Iowa,129,129,0
Maryland,11,11,0
Massachusetts,386,386,0
Michigan,58,58,0
Minnesota,3711,563,3148
Montana,134,134,0
Nebraska,6,6,0
New Jersey,642,642,0
New Mexico,358,358,0
New York,290,290,0
North Dakota,4,4,0
Ohio,14,14,0
Pennsylvania,1830,1830,0
Puerto Rico,54,54,0
South Dakota,48,0,48
Texas,26,26,0
Virginia,21,21,0
West Virginia,102,102,0
Wisconsin,172,66,106
